date,timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-02-18,2026-02-18 00:00:00,James martin free channel,98093,"**🕯****🎯**** Locked in on the chart, candle by candle.  The next session could explode , stay focused.**",No,,,
2026-02-18,2026-02-18 00:06:02,James martin free channel,98094,"📊 **FREE SIGNALS** 📊 ⏰ Time Zone: UTC -3  • **EURGBP-OTC** - PUT 🟥 - 00:10 • Expiration: 5 minutes (M5) • If you lose, make up to 2 Gale's.  📲 [Click to Open the Broker](https://bit.ly/Free-Registration-PocketOption) ➡️ Don't know how to operate? [Click here](https://t.me/c/1815139606/228)",Yes,EURGBP_otc,put,00:10
2026-02-18,2026-02-18 00:15:02,James martin free channel,98096,Victory on **EURGBP-OTC**! Sharp analysis and excellent result! 🚀💰,No,,,
2026-02-18,2026-02-18 00:16:37,James martin free channel,98097,,No,,,
2026-02-18,2026-02-18 00:23:27,James martin free channel,98098,,No,,,
2026-02-18,2026-02-18 00:34:22,James martin free channel,98098,,No,,,
2026-02-18,2026-02-18 00:41:29,James martin free channel,98099,🧠📉 Market under full focus. Top trades forming any moment. 🚀  🤔**__Still__ having doubts about starting to trade with me?**__ I teach you quickly and easily how to take advantage of my signals: __** ****➡️**** **[**CLICK HERE AND LEARN**](https://telegra.ph/How-to-Start-Profiting-with-My-Signals-09-16),No,,,
2026-02-18,2026-02-18 01:04:03,James martin free channel,98100,👇🏻,No,,,
2026-02-18,2026-02-18 01:10:01,James martin free channel,98101,"📊 **FREE SIGNALS** 📊 ⏰ Time Zone: UTC -3  • **EURGBP-OTC** - PUT 🟥 - 01:15 • Expiration: 5 minutes (M5) • If you lose, make up to 2 Gale's.  📲 [Click to Open the Broker](https://bit.ly/Free-Registration-PocketOption) ➡️ Don't know how to operate? [Click here](https://t.me/c/1815139606/228)",Yes,EURGBP_otc,put,01:15
2026-02-18,2026-02-18 01:25:01,James martin free channel,98103,Another WIN in the account on **EURGBP-OTC**! Great reading and execution! ✅🚀,No,,,
2026-02-18,2026-02-18 01:33:55,James martin free channel,98104,"📷 **Aarav Sales unlocked the power of consistent trading!** 📈🔥  Every day a new WIN, and it all started by clicking a single link.  🎯 **You can do the same now!**  [**Secure your VIP entry!**](https://t.me/JamesMartinVip_bot?start=Group) 💰💬",No,,,
2026-02-18,2026-02-18 01:34:37,James martin free channel,98106,Closed the week positive with $16.41  perfect!,No,,,
2026-02-18,2026-02-18 01:43:52,James martin free channel,98107,,No,,,
2026-02-18,2026-02-18 01:46:14,James martin free channel,98108,"💭📉 Precision and control , the real edge. Stay patient, win strong. 🚀  **➡️**** **[**Click to Open the Broker**](https://bit.ly/Free-Registration-PocketOption)",No,,,
2026-02-18,2026-02-18 02:04:02,James martin free channel,98109,⬇️,No,,,
