date,timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43695,🔝,No,,,
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43696,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **AUDCAD-OTC** - PUT 🟥 - 02:35 • Expiration: 5 minutes (M5) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2313740819/4)",Yes,AUDCAD_otc,put,02:35
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43697,📉 Excellent call on **AUDCAD-OTC**! Solid move and strong finish! ✅,No,,,
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43699,"🥇 Don’t Keep The Secret To Yourself! If You’re Seeing Results, It’s Time To Share. 📌 Join and share this opportunity: https://bit.ly/Access-To-Vip",No,,,
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43700,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **EURJPY-OTC** - PUT 🟥 - 03:30 • Expiration: 5 minutes (M5) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2313740819/4)",Yes,EURJPY_otc,put,03:30
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43701,💰 Positive execution on **EURJPY-OTC**! Strong reading and flawless setup! 🔥,Yes,EURJPY_otc,call,
2026-01-31,2026-01-31 04:20:48,james martin vip channel m1,43703,"🥇 Don’t Keep The Secret To Yourself! If You’re Seeing Results, It’s Time To Share. 📌 Join and share this opportunity: https://bit.ly/Access-To-Vip",No,,,
2026-01-31,2026-01-31 04:37:01,james martin vip channel m1,43704,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **AUDCAD-OTC** - PUT 🟥 - 04:40 • Expiration: 5 minutes (M5) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2313740819/4)",Yes,AUDCAD_otc,put,04:40
2026-01-31,2026-01-31 04:55:08,james martin vip channel m1,43705,"❌ That wasn’t the result we aimed for on **AUDCAD-OTC**, but we trust the method.",No,,,
2026-01-31,2026-01-31 05:09:05,james martin vip channel m1,43706,"⚠️ Maximum attention! After a loss, it’s advisable to lower the stake on the next trades.",No,,,
2026-01-31,2026-01-31 05:21:01,james martin vip channel m1,43707,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **EURUSD-OTC** - PUT 🟥 - 05:25 • Expiration: 5 minutes (M5) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2313740819/4)",Yes,EURUSD_otc,put,05:25
2026-01-31,2026-01-31 05:35:02,james martin vip channel m1,43709,,No,,,
