timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-21 12:52:00,james martin vip channel m1,42388,🔥 Increase Your Capital From The First Deposit! Use This Coupon And Get An Instant 60% Bonus.  🎟 Promo Code: **BKI513**  ➡️ [**Click Here And Secure Your Bonus**](https://telegra.ph/How-to-Withdraw-and-Deposit-on-the-Brokerage-09-16),No,,,
2026-01-21 13:34:03,james martin vip channel m1,42389,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **EURAUD** - PUT 🟥 - 13:37 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,EURAUD,put,13:37
2026-01-21 13:40:03,james martin vip channel m1,42390,📉 **EURAUD** didn’t respond to our setup. Patience and risk control!,No,,,
2026-01-21 13:52:35,james martin vip channel m1,42391,"📉 This entry didn’t fit, but there are still good opportunities! Focus and discipline on the next ones!",No,,,
2026-01-21 14:27:02,james martin vip channel m1,42392,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **GBPJPY** - PUT 🟥 - 14:32 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,GBPJPY,put,14:32
2026-01-21 14:33:02,james martin vip channel m1,42394,,No,,,
2026-01-21 14:50:12,james martin vip channel m1,42395,🚀 Are You Making Money With My Signals? Don't Let Your Money Get Stuck!  ➡️ [**Click Here And Learn How To Verify Your Account Now**](https://telegra.ph/Verify-Your-Account-on-Pocket-Option-Easily-10-29),No,,,
2026-01-21 15:28:03,james martin vip channel m1,42396,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **GBPUSD** - PUT 🟥 - 15:32 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,GBPUSD,put,15:32
2026-01-21 15:34:04,james martin vip channel m1,42398,,No,,,
2026-01-21 15:44:31,james martin vip channel m1,42399,"🔑 Winning Is Just The First Step, But The Key To Success Is Risk Management!  ➡️ [**Learn How To Protect Your Profits Now**](https://telegra.ph/How-to-Perform-Risk-Management-Effectively-02-06)",No,,,
2026-01-21 16:27:01,james martin vip channel m1,42400,"🚥 **VIP SIGNAL** 🚥 ⏰ Time zone: UTC-3  • **GBPUSD** - PUT 🟥 - 16:32 • Expiration: 1 minute (M1) • If you lose, recover with up to 2 Gale.  📲 [Click to open the broker](https://bit.ly/RegistrationFree-PocketOption) ➡️ Don't know how to trade? [Click here](https://t.me/c/2320686916/3)",Yes,GBPUSD,put,16:32
2026-01-21 16:34:04,james martin vip channel m1,42402,,No,,,
2026-01-21 16:47:20,james martin vip channel m1,42403,"📌 If You Follow My Signals, It's Time To Make Sure You Can Withdraw Your Profits!  ➡️ [**Verify Your Account Now And Secure Fast Withdrawals**](https://telegra.ph/Verify-Your-Account-on-Pocket-Option-Easily-10-29)",No,,,
