date,timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-31,2026-01-31 04:03:05,lc trader,24586,**OPPORTUNITY FOUND📊💰** 🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation EURTRY_otc—04:05: PUT 🔴,Yes,EURTRY_otc,put,04:49
2026-01-31,2026-01-31 04:41:09,lc trader,24591,✅VICTORY 1º GALE,No,,,
2026-01-31,2026-01-31 04:59:04,lc trader,24594,✅VICTORY 1º GALE,No,,,
2026-01-31,2026-01-31 05:01:06,lc trader,24595,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDCNH_otc—05:05: CALL 🟢  ⏰ ENDS AT: 05:10  1º GALE - ENDS AT 05:15 2º GALE - ENDS AT 05:20  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,USDCNH_otc,call,05:05
2026-01-31,2026-01-31 05:18:03,lc trader,24597,✅VICTORY 1º GALE,No,,,
2026-01-31,2026-01-31 05:20:05,lc trader,24598,**OPPORTUNITY FOUND📊💰**  🌍TIMEZONE 👉 UTC -3 ⏳5 minutes of operation USDSGD_otc—05:25: CALL 🟢  ⏰ ENDS AT: 05:30  1º GALE - ENDS AT 05:35 2º GALE - ENDS AT 05:40  [📲 Click here to open the broker](https://tinyurl.com/Lctraderpocket),Yes,USDSGD_otc,call,05:25
2026-01-31,2026-01-31 05:41:11,lc trader,24602,OPERATIONS REPORT(31/01)📊  SIGNAL 1 -> GAIN ✅ SIGNAL 2 -> GAIN ✅ SIGNAL 3 -> GAIN ✅ SIGNAL 4 -> GAIN ✅ SIGNAL 5 -> GAIN ✅  05 WIN ✅ 00 LOSS ❌,No,,,
2026-01-31,2026-01-31 05:44:06,lc trader,24603,**END OF THE 1º SESSION 🚀🏆**,No,,,
2026-01-31,2026-01-31 12:00:20,lc trader,24604,"**2º SESSION OF THE DAY IS ABOUT TO START 💸🤑**  **⏰We’ll start in 60 minutes — set your alarms** ‼️  **Get $50,000 to test our trades**  👇👇👇 [**📊CLICK HERE TO CREATE YOUR ACCOUNT**](https://bit.ly/registerpockett)  **Don’t know how to copy the trades??**  👇👇👇 [** 👨🏻‍🎓CLICK HERE TO WATCH THE MINI COURSE **](https://t.me/luctrader09/113)  ✅✅",No,,,
2026-01-31,2026-01-31 13:00:09,lc trader,24605,,No,,,
2026-01-31,2026-01-31 13:00:11,lc trader,24606,**We began our analyses folks 📊**  **TIME ZONE 👉 UTC -3 🌍**  Keep your broker open to not miss any opportunity👇  [**📊CLICK HERE TO CREATE YOUR ACCOUNT**](https://bit.ly/registerpockett),No,,,
