date,timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82633,🗓 USDBDT-OTCp Profit ✅.,No,,,
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82634,📊 USDBDT-OTCp ⏰ 00:56 ⌛️ 1 Minutes 🔴 PUT DOWN ⬇️  🚧 POCKET 1M FREE 🚧 [CREATE ACCOUNT](https://u3.shortink.io/register?utm_campaign=63762&utm_source=affiliate&utm_medium=sr&a=kNR3okCP7wygKi&ac=unstoppableorgpocket) ADD ALL BOT https://t.me/addlist/9ze9Nw05g6UyYTVl JOIN MAIN CHANNEL @pocketoptionai,Yes,USDBDT_otc,put,00:56
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82635,🗓 USDBDT-OTCp Profit ✅.,No,,,
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82636,📊 USDBDT-OTCp ⏰ 01:04 ⌛️ 1 Minutes 🟢 CALL UP ⬆️  🚧 POCKET 1M FREE 🚧 [CREATE ACCOUNT](https://u3.shortink.io/register?utm_campaign=63762&utm_source=affiliate&utm_medium=sr&a=kNR3okCP7wygKi&ac=unstoppableorgpocket) ADD ALL BOT https://t.me/addlist/9ze9Nw05g6UyYTVl JOIN MAIN CHANNEL @pocketoptionai,Yes,USDBDT_otc,call,01:04
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82637,🗓 USDBDT-OTCp Profit ✅.,No,,,
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82638,📊 USDBDT-OTCp ⏰ 01:10 ⌛️ 1 Minutes 🟢 CALL UP ⬆️  🚧 POCKET 1M FREE 🚧 [CREATE ACCOUNT](https://u3.shortink.io/register?utm_campaign=63762&utm_source=affiliate&utm_medium=sr&a=kNR3okCP7wygKi&ac=unstoppableorgpocket) ADD ALL BOT https://t.me/addlist/9ze9Nw05g6UyYTVl JOIN MAIN CHANNEL @pocketoptionai,Yes,USDBDT_otc,call,01:10
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82639,🗓 USDBDT-OTCp Profit ✅.,No,,,
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82640,📊 USDBDT-OTCp ⏰ 01:16 ⌛️ 1 Minutes 🔴 PUT DOWN ⬇️  🚧 POCKET 1M FREE 🚧 [CREATE ACCOUNT](https://u3.shortink.io/register?utm_campaign=63762&utm_source=affiliate&utm_medium=sr&a=kNR3okCP7wygKi&ac=unstoppableorgpocket) ADD ALL BOT https://t.me/addlist/9ze9Nw05g6UyYTVl JOIN MAIN CHANNEL @pocketoptionai,Yes,USDBDT_otc,put,01:16
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82641,🗓 USDBDT-OTCp Loss ☑️,No,,,
2026-01-31,2026-01-31 04:20:49,logic 5 cycle,82642,📊 USDBDT-OTCp ⏰ 01:21 ⌛️ 1 Minutes 🟢 CALL UP ⬆️  🚧 POCKET 1M FREE 🚧 [CREATE ACCOUNT](https://u3.shortink.io/register?utm_campaign=63762&utm_source=affiliate&utm_medium=sr&a=kNR3okCP7wygKi&ac=unstoppableorgpocket) ADD ALL BOT https://t.me/addlist/9ze9Nw05g6UyYTVl JOIN MAIN CHANNEL @pocketoptionai,Yes,USDBDT_otc,call,01:21
