"date","timestamp","channel","message_id","message_text","is_signal","asset","direction","signal_time"
"2026-02-26","2026-02-26 09:28:04","po advance bot","3834","Get ready for the session","No","","",""
"2026-02-26","2026-02-26 09:48:54","po advance bot","3835","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 09:54:00","po advance bot","3836","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ USDCLP_otc ⏰ Entry Time │ 09:56 (Server Time) 🎯 Direction │ CALL ➥ UP ⬆️⬆️⬆️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","USDCLP_otc","call","09:56"
"2026-02-26","2026-02-26 09:54:02","po advance bot","3837","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 09:58:00","po advance bot","3838","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ EURCAD ⏰ Entry Time │ 10:00 (Server Time) 🎯 Direction │ CALL ➥ UP ⬆️⬆️⬆️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","EURCAD","call","10:00"
"2026-02-26","2026-02-26 09:58:02","po advance bot","3839","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:00:27","po advance bot","3840","Low payout avoid‼️‼️","No","","",""
"2026-02-26","2026-02-26 10:02:00","po advance bot","3842","⏳ Generating new signals live data....","No","","",""
"2026-02-26","2026-02-26 10:06:00","po advance bot","3843","⁠ `𓂀𓂀𓂀 POCKET PRO AI BOT 𓂀𓂀𓂀 🏦 Broker │ Pocket Option 💹 Pair │ GBPJPY_otc ⏰ Entry Time │ 10:08 (Server Time) 🎯 Direction │ PUT ➥ DOWN ⬇️⬇️⬇️ ⚠️ Rule │ SKIP if payout; 80% 🔥 HIGH CONFIDENCE SIGNAL 🔥 Execute with confidence!`","Yes","GBPJPY_otc","put","10:08"
"2026-02-26","2026-02-26 10:06:02","po advance bot","3844","⏳ Generating new signals live data....","No","","",""
