date,timestamp,channel,message_id,message_text,is_signal,asset,direction,signal_time
2026-01-31,2026-01-31 04:20:49,pocket option sign,27439,🛰 POCKET OPTION [M1]  💷 AUDUSD-OTC 💎 M1 ⌚️ 23:32:00 🔼 call     🔗 [**Register Pocket Options**](https://po-ru4.click/register?utm_campaign=12957&utm_source=affiliate&utm_medium=sr&a=SBDGTwg33nGhmA&ac=telegram) 👈,Yes,AUDUSD-OTC,call,23:32
2026-01-31,2026-01-31 04:20:49,pocket option sign,27440,WIN ✅²,No,,,
2026-01-31,2026-01-31 04:20:49,pocket option sign,27441,🛰 POCKET OPTION [M1]  💷 EURUSD-OTC 💎 M1 ⌚️ 23:40:00 🔼 call     🔗 [**Register Pocket Options**](https://po-ru4.click/register?utm_campaign=12957&utm_source=affiliate&utm_medium=sr&a=SBDGTwg33nGhmA&ac=telegram) 👈,Yes,EURUSD-OTC,call,23:40
2026-01-31,2026-01-31 04:20:49,pocket option sign,27442,WIN ✅,No,,,
2026-01-31,2026-01-31 04:20:49,pocket option sign,27443,🛰 POCKET OPTION [M1]  💷 AUDCAD-OTC 💎 M1 ⌚️ 23:46:00 🔽 put     🔗 [**Register Pocket Options**](https://po-ru4.click/register?utm_campaign=12957&utm_source=affiliate&utm_medium=sr&a=SBDGTwg33nGhmA&ac=telegram) 👈,Yes,AUDCAD-OTC,put,23:46
2026-01-31,2026-01-31 04:20:49,pocket option sign,27444,WIN ✅,No,,,
2026-01-31,2026-01-31 04:20:49,pocket option sign,27445,🛰 POCKET OPTION [M1]  💷 EURUSD-OTC 💎 M1 ⌚️ 23:52:00 🔼 call     🔗 [**Register Pocket Options**](https://po-ru4.click/register?utm_campaign=12957&utm_source=affiliate&utm_medium=sr&a=SBDGTwg33nGhmA&ac=telegram) 👈,Yes,EURUSD-OTC,call,23:52
2026-01-31,2026-01-31 04:20:49,pocket option sign,27446,WIN ✅,No,,,
2026-01-31,2026-01-31 04:20:49,pocket option sign,27447,🛰 POCKET OPTION [M1]  💷 EURCHF-OTC 💎 M1 ⌚️ 23:58:00 🔼 call     🔗 [**Register Pocket Options**](https://po-ru4.click/register?utm_campaign=12957&utm_source=affiliate&utm_medium=sr&a=SBDGTwg33nGhmA&ac=telegram) 👈,Yes,EURCHF-OTC,call,23:58
2026-01-31,2026-01-31 04:20:49,pocket option sign,27448,WIN ✅,No,,,
